"","p_d_node","p_state","d_state","change","p_pp","d_pp","dpp>ppp"
"1","1094_1095",0,0,0,0.816,0.818,1
"2","1095_1096",0,0,0,0.818,0.818,0
"3","1096_1",0,0,0,0.818,1,1
"4","1096_1097",0,0,0,0.818,0.862,1
"5","1097_1098",0,0,0,0.862,0.894,1
"6","1098_1099",0,0,0,0.894,0.902,1
"7","1099_1100",0,0,0,0.902,0.958,1
"8","1100_2",0,0,0,0.958,1,1
"9","1100_3",0,0,0,0.958,1,1
"10","1099_1101",0,0,0,0.902,0.95,1
"11","1101_4",0,0,0,0.95,1,1
"12","1101_5",0,0,0,0.95,1,1
"13","1098_1102",0,0,0,0.894,0.894,0
"14","1102_1103",0,0,0,0.894,0.91,1
"15","1103_6",0,0,0,0.91,1,1
"16","1103_7",0,0,0,0.91,1,1
"17","1102_1104",0,0,0,0.894,0.988,1
"18","1104_8",0,0,0,0.988,1,1
"19","1104_9",0,0,0,0.988,1,1
"20","1097_1105",0,0,0,0.862,0.878,1
"21","1105_1106",0,0,0,0.878,0.85,0
"22","1106_10",0,0,0,0.85,1,1
"23","1106_11",0,0,0,0.85,1,1
"24","1105_1107",0,0,0,0.878,0.9,1
"25","1107_12",0,0,0,0.9,1,1
"26","1107_13",0,0,0,0.9,1,1
"27","1095_1108",0,0,0,0.818,0.82,1
"28","1108_14",0,0,0,0.82,1,1
"29","1108_1109",0,0,0,0.82,0.988,1
"30","1109_15",0,0,0,0.988,1,1
"31","1109_16",0,0,0,0.988,1,1
"32","1094_1110",0,0,0,0.816,0.814,0
"33","1110_1111",0,0,0,0.814,0.822,1
"34","1111_1112",0,0,0,0.822,0.83,1
"35","1112_17",0,0,0,0.83,1,1
"36","1112_1113",0,0,0,0.83,0.814,0
"37","1113_1114",0,0,0,0.814,0.814,0
"38","1114_18",0,0,0,0.814,1,1
"39","1114_19",0,1,1,0.814,1,1
"40","1113_20",0,0,0,0.814,1,1
"41","1111_1115",0,0,0,0.822,0.844,1
"42","1115_1116",0,0,0,0.844,0.878,1
"43","1116_1117",0,0,0,0.878,0.878,0
"44","1117_1118",0,0,0,0.878,0.848,0
"45","1118_1119",0,0,0,0.848,0.934,1
"46","1119_21",0,0,0,0.934,1,1
"47","1119_22",0,0,0,0.934,1,1
"48","1118_23",0,0,0,0.848,1,1
"49","1117_1120",0,0,0,0.878,0.854,0
